feature,importance
lon,0.15319095724855303
Elev,0.10367696225114441
lat,0.09235629002657281
p50_SWIR1_SWIR2_RATIO,0.04125451963932824
p50_NDWI,0.04062912631525341
p50_NDVI,0.03831558497181135
p50_SWIR2,0.03789834178793554
p50_B12,0.037603342976045666
p50_ALBEDO_PROXY,0.03715530618895405
p50_BRIGHT,0.036950535283941724
p50_B02,0.03653489252938118
p50_B08,0.036062666139408874
p50_B03,0.03556429062461579
p50_B04,0.035016183004052445
p50_BSI,0.03483434492762129
p50_B11,0.034525866875403495
p50_NDMI,0.03442228700351504
p50_RED,0.03377171747088215
p50_MNDWI,0.03357933228536891
p50_RED_SWIR1_RATIO,0.03347185275961679
p50_SWIR1,0.033185599690593696
