feature,importance
lat,0.09633446602192375
lon,0.08816540118644699
p50_BSI,0.06949782736097264
p50_NDWI,0.059932000985394106
p50_MNDWI,0.05751880614500312
p50_RED_SWIR1_RATIO,0.0569469073049774
p50_NDMI,0.05639451500017047
p50_NDVI,0.054954441491314406
p50_SWIR1_SWIR2_RATIO,0.0536550246929304
p50_B02,0.05174066438418734
Elev,0.050710772814714235
p50_B03,0.04035335903592031
p50_SWIR1,0.03386633569757003
p50_B11,0.03343393341565233
p50_SWIR2,0.030215717810059765
p50_B12,0.03014888814131973
p50_B08,0.029696141581994785
p50_RED,0.02699898339471685
p50_BRIGHT,0.026832694280411563
p50_B04,0.026759164160492573
p50_ALBEDO_PROXY,0.025843955093827267
