feature,importance
lat,0.10028112103692309
lon,0.09830448104048316
Elev,0.07064021754631471
p50_SWIR1_SWIR2_RATIO,0.05641203448321278
p50_NDVI,0.05165548286748526
p50_NDWI,0.04549618518433057
p50_BSI,0.04255261930766166
p50_SWIR1,0.042276876144554644
p50_RED_SWIR1_RATIO,0.042222329382534465
p50_SWIR2,0.042117815026964746
p50_B11,0.04202927424700833
p50_B02,0.041216679449467615
p50_B12,0.041057704007188466
p50_MNDWI,0.03946542680391373
p50_NDMI,0.03831996769385612
p50_B03,0.037612824021278475
p50_B08,0.03558636438684122
p50_RED,0.03362045529631939
p50_B04,0.033276542956142394
p50_BRIGHT,0.03323204515796735
p50_ALBEDO_PROXY,0.03262355395955184
