feature,importance
lat,0.116226479386436
lon,0.11381283968192041
Elev,0.07530420318253203
p50_SWIR1_SWIR2_RATIO,0.05382817985377478
p50_NDVI,0.05194941564577992
p50_NDWI,0.04597590674345305
p50_BSI,0.0418861809760861
p50_B02,0.04010491978101124
p50_RED_SWIR1_RATIO,0.03967188768536963
p50_B12,0.0391582429408045
p50_B11,0.03914189881152127
p50_SWIR1,0.03910912321846854
p50_SWIR2,0.0390759407473937
p50_MNDWI,0.03637238143850685
p50_NDMI,0.03625563220952303
p50_B03,0.03596948990995408
p50_B08,0.03358253594428468
p50_ALBEDO_PROXY,0.03140346304273432
p50_B04,0.0309698852380943
p50_RED,0.03079084383476532
p50_BRIGHT,0.029410549727586114
