,Elev,lat,lon,p50_B02,p50_B03,p50_B04,p50_B08,p50_B11,p50_B12,p50_NDVI,p50_NDWI,p50_MNDWI,p50_NDMI,p50_BSI,p50_BRIGHT,p50_ALBEDO_PROXY,p50_RED,p50_SWIR1,p50_SWIR2,p50_RED_SWIR1_RATIO,p50_SWIR1_SWIR2_RATIO,Silt
Elev,1.0,-0.17253551576353843,-0.24893897259426556,0.038678632931691034,0.044420027670363585,0.05559657914122584,0.04491918019381293,0.0030918902288123427,-0.020775298570621208,-0.09844886017474695,0.016115252721537323,0.05762918986090932,0.07149004694162767,-0.0195087700939918,0.04099102645233058,0.04099102645233058,0.05559657914122584,0.0030918902288123427,-0.020775298570621208,0.1323459002472297,0.0027524408623491987,0.008987925034441614
lat,-0.17253551576353843,1.0,-0.0025689867235639528,0.4542299188038594,0.4373184983532697,0.4095235255376416,0.4099342756878913,-0.5402954110265439,-0.44883846228897517,-0.42356767358751884,0.499843979284591,0.5233368370640037,0.5223807043883109,-0.5340463014168166,0.37844469191544117,0.37844469191544117,0.4095235255376416,-0.5402954110265439,-0.44883846228897517,0.48535182633272034,-0.5465339628198581,0.34100860751380135
lon,-0.24893897259426556,-0.0025689867235639528,1.0,0.09514934831079533,0.08627056788139703,0.06861110987377936,0.06695696109819306,-0.19991634357143145,-0.17053867553789645,-0.12474842592087104,0.18031493593220585,0.16075858513117097,0.1528857104329164,-0.17745721320470403,0.05425292184055346,0.05425292184055346,0.06861110987377936,-0.19991634357143145,-0.17053867553789645,0.13157235518298377,-0.12543249938320183,0.11471816285569071
p50_B02,0.038678632931691034,0.4542299188038594,0.09514934831079533,1.0,0.9957529086635524,0.9821569667377971,0.9715536008502752,-0.5721646419954508,-0.39626634352140744,-0.8954003315324338,0.8627138687649117,0.9173743502161289,0.915107394046385,-0.8698532703268052,0.9652293261517263,0.9652293261517263,0.9821569667377971,-0.5721646419954508,-0.39626634352140744,0.9110575395546138,-0.8121262381526592,0.42544168686882405
p50_B03,0.044420027670363585,0.4373184983532697,0.08627056788139703,0.9957529086635524,1.0,0.9931779374912887,0.9833885714326778,-0.5330519203487659,-0.3535097173381192,-0.8877233734862919,0.8375827518888457,0.8984309348893685,0.8982776161382549,-0.8432030399651839,0.9777589827237891,0.9777589827237891,0.9931779374912887,-0.5330519203487659,-0.3535097173381192,0.9027349883701498,-0.8057623619742742,0.4168055806926398
p50_B04,0.05559657914122584,0.4095235255376416,0.06861110987377936,0.9821569667377971,0.9931779374912887,1.0,0.990149539261974,-0.4686616864125145,-0.28627563360264735,-0.8711604394422249,0.7870751118856029,0.8607104144082448,0.8647850406761914,-0.7950848320534579,0.9860956839930958,0.9860956839930958,1.0,-0.4686616864125145,-0.28627563360264735,0.8839191102778974,-0.7881561601495336,0.39885106826578876
p50_B08,0.04491918019381293,0.4099342756878913,0.06695696109819306,0.9715536008502752,0.9833885714326778,0.990149539261974,1.0,-0.4343319024603121,-0.24795742440980717,-0.8381932810924136,0.7756287479428163,0.8516228876581134,0.8574978063716315,-0.7949381242033478,0.9897090628685333,0.9897090628685333,0.990149539261974,-0.4343319024603121,-0.24795742440980717,0.8656615258453428,-0.7729371133675333,0.39127340190328075
p50_B11,0.0030918902288123427,-0.5402954110265439,-0.19991634357143145,-0.5721646419954508,-0.5330519203487659,-0.4686616864125145,-0.4343319024603121,1.0,0.9375122432031541,0.6177131150065476,-0.7398342818130154,-0.7487134207149426,-0.7459764616095941,0.7731066182483962,-0.3838848955229633,-0.3838848955229633,-0.4686616864125145,1.0,0.9375122432031541,-0.6749777420391899,0.6178868245552852,-0.4061651014520296
p50_B12,-0.020775298570621208,-0.44883846228897517,-0.17053867553789645,-0.39626634352140744,-0.3535097173381192,-0.28627563360264735,-0.24795742440980717,0.9375122432031541,1.0,0.46122694015128896,-0.5989122291083532,-0.6062245992203629,-0.6059564522215285,0.6334913993641699,-0.1881848481789408,-0.1881848481789408,-0.28627563360264735,0.9375122432031541,1.0,-0.551378945507894,0.3918103740808134,-0.32298144943646606
p50_NDVI,-0.09844886017474695,-0.42356767358751884,-0.12474842592087104,-0.8954003315324338,-0.8877233734862919,-0.8711604394422249,-0.8381932810924136,0.6177131150065476,0.46122694015128896,1.0,-0.879875318371143,-0.9039616036208677,-0.8933317216738933,0.846704691747619,-0.8349422180627829,-0.8349422180627829,-0.871160439442225,0.6177131150065476,0.461226940151289,-0.8857385759304206,0.8149879303193471,-0.42454550017545556
p50_NDWI,0.016115252721537323,0.499843979284591,0.18031493593220585,0.8627138687649117,0.8375827518888457,0.7870751118856029,0.7756287479428163,-0.7398342818130154,-0.5989122291083532,-0.879875318371143,1.0,0.9565615928293876,0.9263904320831774,-0.9614064113595464,0.7621700466035741,0.7621700466035741,0.7870751118856029,-0.7398342818130154,-0.5989122291083532,0.8480027738854574,-0.7637862770964663,0.44331358427700585
p50_MNDWI,0.05762918986090932,0.5233368370640037,0.16075858513117097,0.9173743502161289,0.8984309348893685,0.8607104144082448,0.8516228876581134,-0.7487134207149426,-0.6062245992203629,-0.9039616036208677,0.9565615928293876,1.0,0.9934460992522535,-0.9812303198848931,0.8237625346737716,0.8237625346737716,0.8607104144082448,-0.7487134207149428,-0.6062245992203629,0.9422957997103871,-0.8111665684348052,0.4631061038385577
p50_NDMI,0.07149004694162767,0.5223807043883109,0.1528857104329164,0.915107394046385,0.8982776161382549,0.8647850406761914,0.8574978063716315,-0.7459764616095941,-0.6059564522215285,-0.8933317216738933,0.9263904320831774,0.9934460992522535,1.0,-0.9727289544274115,0.8249888603697494,0.8249888603697494,0.8647850406761913,-0.7459764616095942,-0.6059564522215287,0.9526214363106437,-0.8131724006572711,0.4642416828329539
