feature,importance
lat,0.14029960607357347
p50_NDMI,0.06700215331685808
lon,0.05747066285677019
Elev,0.05688649671722724
p50_SWIR1_SWIR2_RATIO,0.05665441007517017
p50_RED_SWIR1_RATIO,0.05602269412406422
p50_BSI,0.05438373505454971
p50_MNDWI,0.05285133022332126
p50_NDWI,0.0458864703968041
p50_B11,0.04568911978457161
p50_SWIR1,0.045012396694246434
p50_B02,0.04210278812357353
p50_NDVI,0.04077205322930414
p50_B03,0.033352226435733004
p50_B08,0.032761392323225176
p50_B12,0.031331899270086686
p50_SWIR2,0.030621737717285945
p50_RED,0.029298392591724308
p50_B04,0.02920822415166658
p50_ALBEDO_PROXY,0.02653015370809314
p50_BRIGHT,0.025862057132151183
