feature,importance
lat,0.16472715749203634
p50_NDMI,0.07750789711116202
p50_RED_SWIR1_RATIO,0.05892359143468858
p50_MNDWI,0.056993311887288296
p50_BSI,0.05653472798787228
lon,0.05618909820172949
Elev,0.05545021062314041
p50_SWIR1_SWIR2_RATIO,0.052812170615295806
p50_B11,0.04758115256483336
p50_NDWI,0.046107681265681676
p50_SWIR1,0.04267218803949177
p50_B02,0.04209159424437233
p50_NDVI,0.03744623782530809
p50_B03,0.030997192269621842
p50_B08,0.029659470163191107
p50_SWIR2,0.025876071729349418
p50_B12,0.0258069512107915
p50_RED,0.0254307585711678
p50_B04,0.0250655594389401
p50_ALBEDO_PROXY,0.021626544437065187
p50_BRIGHT,0.020500432886972533
